"행정구역별(읍면동)","연령별",2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021
"행정구역별(읍면동)","연령별",총인구(명),내국인(명),내국인_남자(명),내국인_여자(명),총인구(명),내국인(명),내국인_남자(명),내국인_여자(명),총인구(명),내국인(명),내국인_남자(명),내국인_여자(명),총인구(명),내국인(명),내국인_남자(명),내국인_여자(명),총인구(명),내국인(명),내국인_남자(명),내국인_여자(명),총인구(명),내국인(명),내국인_남자(명),내국인_여자(명),총인구(명),내국인(명),내국인_남자(명),내국인_여자(명)
"대전광역시","5~9세",73099,72834,37432,35402,72785,72474,37283,35191,70900,70702,36443,34259,68890,68636,35299,33337,67447,67086,34473,32613,66365,66020,33891,32129,63674,63229,32582,30647
"대전광역시","10~14세",79517,79326,41279,38047,74600,74416,38749,35667,72938,72834,37650,35184,71056,70916,36718,34198,68743,68532,35414,33118,68533,68353,35174,33179,68619,68418,35173,33245
"대전광역시","15~19세",111778,110851,58039,52812,107174,106199,55551,50648,100929,99918,52627,47291,95355,94176,49284,44892,90628,89180,46773,42407,83574,82649,43201,39448,78502,77543,40942,36601
"대전광역시","20~24세",129333,124959,67259,57700,130171,125729,67541,58188,129500,124742,66189,58553,127118,121799,64753,57046,124362,118844,62522,56322,123236,118916,61742,57174,120355,115568,59832,55736
"울산광역시","5~9세",56490,56157,29232,26925,57741,57376,29846,27530,57688,57415,29781,27634,57107,56852,29429,27423,57292,56923,29339,27584,56827,56469,29070,27399,55219,54807,28227,26580
"울산광역시","10~14세",58494,58348,30883,27465,55159,55009,28969,26040,54576,54428,28702,25726,54425,54249,28412,25837,54052,53836,28060,25776,55024,54809,28522,26287,55972,55716,29013,26703
"울산광역시","15~19세",77393,76966,41961,35005,73137,72705,39585,33120,67585,67201,36365,30836,63055,62598,34181,28417,58614,58110,31578,26532,54045,53698,29018,24680,50920,50698,27298,23400
"울산광역시","20~24세",79289,76771,44865,31906,78196,75870,44631,31239,75679,73591,43112,30479,73066,70594,41104,29490,70145,67440,39247,28193,67960,65714,37891,27823,62607,60707,35140,25567
"세종특별자치시","5~9세",13946,13904,7043,6861,17134,17094,8585,8509,20036,19998,10185,9813,22684,22632,11597,11035,24398,24325,12438,11887,25681,25615,13170,12445,26421,26337,13504,12833
"세종특별자치시","10~14세",11867,11849,6032,5817,14118,14104,7099,7005,16808,16786,8387,8399,19613,19579,9744,9835,21380,21337,10670,10667,23301,23265,11728,11537,25139,25102,12700,12402
"세종특별자치시","15~19세",11981,11854,5969,5885,14111,13955,7100,6855,15821,15631,7933,7698,17348,17017,8623,8394,17841,17469,8744,8725,18999,18846,9392,9454,19452,19274,9638,9636
"세종특별자치시","20~24세",14433,13861,7554,6307,17254,16686,9137,7549,18151,17536,9518,8018,19692,18767,10094,8673,20804,19491,10351,9140,21654,20512,10843,9669,19793,18836,9842,8994
"경기도","5~9세",624809,620260,319239,301021,638717,633075,325413,307662,642575,637092,327400,309692,643029,635978,326438,309540,648107,638841,327453,311388,652341,642465,328877,313588,644943,632772,323665,309107
"경기도","10~14세",645095,642563,332110,310453,619832,616887,318298,298589,620144,617392,317717,299675,625920,622001,319321,302680,624707,619547,317745,301802,640423,634804,325837,308967,656852,650140,333248,316892
"경기도","15~19세",791805,786755,406991,379764,774124,768556,396700,371856,741283,735505,380128,355377,711806,704181,363915,340266,684717,676519,349037,327482,654522,648335,332871,315464,624696,618523,317276,301247
"경기도","20~24세",841409,804648,424263,380385,850579,813226,429973,383253,849008,810977,428430,382547,847682,801875,422273,379602,834387,786388,413913,372475,847646,808894,421169,387725,820998,787648,411359,376289
"강원도","5~9세",63331,63160,32678,30482,63701,63520,32790,30730,62989,62903,32332,30571,61506,61403,31487,29916,60559,60404,30980,29424,59507,59355,30353,29002,57870,57686,29494,28192
"강원도","10~14세",72393,72288,37729,34559,67581,67469,35073,32396,65912,65841,34285,31556,64623,64521,33540,30981,63115,62983,32681,30302,63319,63225,32688,30537,63908,63792,33010,30782
"강원도","15~19세",97756,97302,51874,45428,94329,93835,50012,43823,89850,89224,47592,41632,85220,84452,44940,39512,79998,79303,42048,37255,72734,72366,38340,34026,68221,67808,35747,32061
"강원도","20~24세",107921,104816,61228,43588,109384,105907,61068,44839,107260,103149,59138,44011,105492,100643,57582,43061,102735,97721,55459,42262,99186,95232,53877,41355,94687,91223,51620,39603
"충청북도","5~9세",70899,70612,36539,34073,72243,71868,37142,34726,72095,71716,36962,34754,71283,70796,36313,34483,71263,70566,35915,34651,70381,69708,35453,34255,68719,67749,34479,33270
"충청북도","10~14세",76851,76637,40037,36600,72190,71958,37525,34433,71447,71209,37003,34206,71002,70678,36694,33984,70241,69786,36247,33539,71406,70968,36712,34256,72793,72159,37265,34894
"충청북도","15~19세",106539,105894,55577,50317,103069,102312,53649,48663,96815,95873,50435,45438,91800,90662,47905,42757,87200,85988,45453,40535,80349,79576,41872,37704,74333,73621,38478,35143
"충청북도","20~24세",113414,108456,59331,49125,119018,113189,62101,51088,118717,112596,61397,51199,117659,110420,60500,49920,115325,107757,59346,48411,112671,106223,58181,48042,104543,99144,53843,45301
"충청남도","5~9세",98242,97816,50670,47146,100534,99909,51766,48143,101812,101160,52257,48903,101586,100687,51918,48769,100919,99683,51323,48360,99473,98233,50398,47835,96901,95193,48687,46506
"충청남도","10~14세",100657,100402,52094,48308,96299,95974,49750,46224,97084,96711,50064,46647,97915,97353,50353,47000,97767,97011,50113,46898,99816,98989,51289,47700,101779,100703,52247,48456
"충청남도","15~19세",135925,134778,70712,64066,133487,132137,69012,63125,128419,126640,66462,60178,123026,120816,63241,57575,118253,115881,60573,55308,107031,105327,54907,50420,102279,100723,52286,48437
